,ind,class
0,0,tench
1,1,goldfish
2,2,great_white_shark
3,3,tiger_shark
4,4,hammerhead
5,5,electric_ray
6,6,stingray
7,7,cock
8,8,hen
9,9,ostrich
10,10,brambling
11,11,goldfinch
12,12,house_finch
13,13,junco
14,14,indigo_bunting
15,15,robin
16,16,bulbul
17,17,jay
18,18,magpie
19,19,chickadee
20,20,water_ouzel
21,21,kite
22,22,bald_eagle
23,23,vulture
24,24,great_grey_owl
25,25,European_fire_salamander
26,26,common_newt
27,27,eft
28,28,spotted_salamander
29,29,axolotl
30,30,bullfrog
31,31,tree_frog
32,32,tailed_frog
33,33,loggerhead
34,34,leatherback_turtle
35,35,mud_turtle
36,36,terrapin
37,37,box_turtle
38,38,banded_gecko
39,39,common_iguana
40,40,American_chameleon
41,41,whiptail
42,42,agama
43,43,frilled_lizard
44,44,alligator_lizard
45,45,Gila_monster
46,46,green_lizard
47,47,African_chameleon
48,48,Komodo_dragon
49,49,African_crocodile
50,50,American_alligator
51,51,triceratops
52,52,thunder_snake
53,53,ringneck_snake
54,54,hognose_snake
55,55,green_snake
56,56,king_snake
57,57,garter_snake
58,58,water_snake
59,59,vine_snake
60,60,night_snake
61,61,boa_constrictor
62,62,rock_python
63,63,Indian_cobra
64,64,green_mamba
65,65,sea_snake
66,66,horned_viper
67,67,diamondback
68,68,sidewinder
69,69,trilobite
70,70,harvestman
71,71,scorpion
72,72,black_and_gold_garden_spider
73,73,barn_spider
74,74,garden_spider
75,75,black_widow
76,76,tarantula
77,77,wolf_spider
78,78,tick
79,79,centipede
80,80,black_grouse
81,81,ptarmigan
82,82,ruffed_grouse
83,83,prairie_chicken
84,84,peacock
85,85,quail
86,86,partridge
87,87,African_grey
88,88,macaw
89,89,sulphur-crested_cockatoo
90,90,lorikeet
91,91,coucal
92,92,bee_eater
93,93,hornbill
94,94,hummingbird
95,95,jacamar
96,96,toucan
97,97,drake
98,98,red-breasted_merganser
99,99,goose
100,100,black_swan
101,101,tusker
102,102,echidna
103,103,platypus
104,104,wallaby
105,105,koala
106,106,wombat
